Timestamp,Pets,Handedness,Extroversion,Texts,Hours of Sleep,Sleep Position,Pant Leg,Piercings,Food Preference
2024/08/29 1:47:46 PM MDT,Cat;Fish;Snake! ,Right,3,2,6,On your stomach,Left,14,Savory
2024/08/29 2:04:15 PM MDT,Snake,Right,6,5,6.5,On your right side,Right,2,Savory
2024/08/29 2:44:27 PM MDT,Dog,Left,3,4,8,On your stomach,Left,0,Sweet
2024/08/29 5:35:31 PM MDT,Dog;Cat;Fish,Right,4,1,6,On your back,Left,0,Savory
2024/08/29 10:08:18 PM MDT,Cat,Right,1,0,7.5,On your left side,Right,0,Savory
2024/08/29 10:56:29 PM MDT,Dog;Cat;Bird,Right,10,7,7,On your back,Right,0,Sweet
2024/08/30 1:21:37 AM MDT,Dog,Right,8,9,7,On your right side,Right,0,Savory
2024/08/30 10:08:06 AM MDT,Dog;Cat;Amphibian;Fish,Right,6,2,6.5,On your back,Left,0,Sweet
2024/08/30 2:32:06 PM MDT,Cat,Right,3,3,6.5,On your left side,Right,0,Savory
2024/08/30 7:12:40 PM MDT,None,Right,7,3,7,On your left side,Right,0,Savory
2024/08/30 8:09:14 PM MDT,Dog,Right,5,5,6,On your right side,Right,4,Sweet
2024/08/30 10:07:00 PM MDT,Cat,Right,2,10,6,On your right side,Left,0,Sweet
2024/08/31 12:18:33 AM MDT,Dog;Bird,Right,8,3,7,On your right side,Right,0,Savory
2024/08/31 12:49:20 AM MDT,Cat,Right,3,2,8,On your right side,Left,7,Sweet
2024/08/31 12:53:56 AM MDT,None,Right,2,3,8,On your stomach,Left,0,Sweet
2024/09/03 5:10:40 PM MDT,Dog,Right,3,2,8,On your right side,Left,0,Sweet
